dataset,endpoint_class,multiplicity_bin,n_unique_molecules,fraction_unique_molecules,maximum_multiplicity
CHEMBL214_Ki,Cliff,1,84,0.5793103448275863,9
CHEMBL214_Ki,Cliff,2,28,0.19310344827586207,9
CHEMBL214_Ki,Cliff,3-5,31,0.21379310344827587,9
CHEMBL214_Ki,Cliff,>5,2,0.013793103448275862,9
CHEMBL214_Ki,Non-cliff,1,99,0.61875,6
CHEMBL214_Ki,Non-cliff,2,36,0.225,6
CHEMBL214_Ki,Non-cliff,3-5,23,0.14375,6
CHEMBL214_Ki,Non-cliff,>5,2,0.0125,6
CHEMBL235_EC50,Cliff,1,43,0.5058823529411764,5
CHEMBL235_EC50,Cliff,2,27,0.3176470588235294,5
CHEMBL235_EC50,Cliff,3-5,15,0.17647058823529413,5
CHEMBL235_EC50,Cliff,>5,0,0.0,5
CHEMBL235_EC50,Non-cliff,1,68,0.6601941747572816,4
CHEMBL235_EC50,Non-cliff,2,23,0.22330097087378642,4
CHEMBL235_EC50,Non-cliff,3-5,12,0.11650485436893204,4
CHEMBL235_EC50,Non-cliff,>5,0,0.0,4
CHEMBL236_Ki,Cliff,1,70,0.5223880597014925,8
CHEMBL236_Ki,Cliff,2,28,0.208955223880597,8
CHEMBL236_Ki,Cliff,3-5,29,0.21641791044776118,8
CHEMBL236_Ki,Cliff,>5,7,0.05223880597014925,8
CHEMBL236_Ki,Non-cliff,1,98,0.5664739884393064,5
CHEMBL236_Ki,Non-cliff,2,51,0.2947976878612717,5
CHEMBL236_Ki,Non-cliff,3-5,24,0.13872832369942195,5
CHEMBL236_Ki,Non-cliff,>5,0,0.0,5
