match_id,cliff_i,cliff_j,noncliff_i,noncliff_j,dataset,environment,representation
0,7,22,8,21,CHEMBL214_Ki,mmp_series,ecfp
1,9,10,10,31,CHEMBL214_Ki,mmp_series,ecfp
2,9,22,10,22,CHEMBL214_Ki,mmp_series,ecfp
3,9,31,8,22,CHEMBL214_Ki,mmp_series,ecfp
4,21,22,7,8,CHEMBL214_Ki,mmp_series,ecfp
5,21,31,20,21,CHEMBL214_Ki,mmp_series,ecfp
6,28,29,565,574,CHEMBL214_Ki,mmp_series,ecfp
7,33,34,266,389,CHEMBL214_Ki,mmp_series,ecfp
8,38,74,201,203,CHEMBL214_Ki,mmp_series,ecfp
9,38,75,211,444,CHEMBL214_Ki,mmp_series,ecfp
10,39,54,534,542,CHEMBL214_Ki,mmp_series,ecfp
11,39,64,528,550,CHEMBL214_Ki,mmp_series,ecfp
12,39,68,62,83,CHEMBL214_Ki,mmp_series,ecfp
13,39,84,37,57,CHEMBL214_Ki,mmp_series,ecfp
14,39,88,59,84,CHEMBL214_Ki,mmp_series,ecfp
15,40,69,532,538,CHEMBL214_Ki,mmp_series,ecfp
16,40,86,82,85,CHEMBL214_Ki,mmp_series,ecfp
17,40,87,125,146,CHEMBL214_Ki,mmp_series,ecfp
18,41,91,320,321,CHEMBL214_Ki,mmp_series,ecfp
19,41,92,85,92,CHEMBL214_Ki,mmp_series,ecfp
20,49,50,169,170,CHEMBL214_Ki,mmp_series,ecfp
21,54,62,58,62,CHEMBL214_Ki,mmp_series,ecfp
22,58,64,64,70,CHEMBL214_Ki,mmp_series,ecfp
23,59,65,65,71,CHEMBL214_Ki,mmp_series,ecfp
24,62,64,64,68,CHEMBL214_Ki,mmp_series,ecfp
25,62,68,54,68,CHEMBL214_Ki,mmp_series,ecfp
26,62,70,54,83,CHEMBL214_Ki,mmp_series,ecfp
27,62,81,54,70,CHEMBL214_Ki,mmp_series,ecfp
28,63,65,65,86,CHEMBL214_Ki,mmp_series,ecfp
