target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs
1CKP-PVB,MSE,cam,50,0.498848291242537,413,214
1CKP-PVB,MSE,cam,55,0.49912893270557496,411,213
1CKP-PVB,MSE,cam,60,0.49874198908141454,383,199
1CKP-PVB,MSE,cam,65,0.4991539324872658,351,183
1CKP-PVB,MSE,cam,70,0.5002614379084968,255,135
1CKP-PVB,MSE,cam,75,0.5004474272930649,149,82
1CKP-PVB,MSE,cam,80,0.5005509641873278,121,68
1CKP-PVB,MSE,cam,85,0.5126582278481012,79,46
1CKP-PVB,MSE,cam,90,0.5185185185185185,27,18
1CKP-PVB,MSE,cam,95,0.0,2,2
1CKP-PVB,MSE,diff,50,0.6644561214316238,413,214
1CKP-PVB,MSE,diff,55,0.664520333680918,411,213
1CKP-PVB,MSE,diff,60,0.6652212524927932,383,199
1CKP-PVB,MSE,diff,65,0.6623352351984831,351,183
1CKP-PVB,MSE,diff,70,0.662510115157174,255,135
1CKP-PVB,MSE,diff,75,0.6694071588366892,149,82
1CKP-PVB,MSE,diff,80,0.6971074380165291,121,68
1CKP-PVB,MSE,diff,85,0.6677215189873417,79,46
1CKP-PVB,MSE,diff,90,0.6851851851851852,27,18
1CKP-PVB,MSE,diff,95,1.0,2,2
1CKP-PVB,MSE,gradcam,50,0.48975149184164946,413,214
1CKP-PVB,MSE,gradcam,55,0.4901309895835439,411,213
1CKP-PVB,MSE,gradcam,60,0.49181065525712997,383,199
1CKP-PVB,MSE,gradcam,65,0.49150763766148353,351,183
1CKP-PVB,MSE,gradcam,70,0.4859570494864613,255,135
1CKP-PVB,MSE,gradcam,75,0.48527484819431127,149,82
1CKP-PVB,MSE,gradcam,80,0.49146005509641877,121,68
1CKP-PVB,MSE,gradcam,85,0.48734177215189883,79,46
1CKP-PVB,MSE,gradcam,90,0.5370370370370371,27,18
1CKP-PVB,MSE,gradcam,95,0.0,2,2
1CKP-PVB,MSE,gradinput,50,0.5254424902195876,413,214
1CKP-PVB,MSE,gradinput,55,0.5272837732691749,411,213
1CKP-PVB,MSE,gradinput,60,0.5345321200412584,383,199
1CKP-PVB,MSE,gradinput,65,0.5410699620101329,351,183
1CKP-PVB,MSE,gradinput,70,0.5471117335823216,255,135
1CKP-PVB,MSE,gradinput,75,0.5423857462448067,149,82
1CKP-PVB,MSE,gradinput,80,0.5377410468319557,121,68
1CKP-PVB,MSE,gradinput,85,0.5453586497890294,79,46
1CKP-PVB,MSE,gradinput,90,0.5185185185185185,27,18
