target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs,archived_acc_test,absolute_difference,source_presence
1CKP-PVB,MSE,cam,50,0.498848291242537,413.0,214.0,0.5673464463024354,0.06849815505989837,both
1CKP-PVB,MSE,cam,55,0.49912893270557496,411.0,213.0,0.567960412120996,0.06883147941542106,both
1CKP-PVB,MSE,cam,60,0.49874198908141454,383.0,199.0,0.5761655591290055,0.07742357004759093,both
1CKP-PVB,MSE,cam,65,0.4991539324872658,351.0,183.0,0.5852362104498855,0.08608227796261969,both
1CKP-PVB,MSE,cam,70,0.5002614379084968,255.0,135.0,0.5940522875816993,0.0937908496732025,both
1CKP-PVB,MSE,cam,75,0.5004474272930649,149.0,82.0,0.6107542345797382,0.1103068072866733,both
1CKP-PVB,MSE,cam,80,0.5005509641873278,121.0,68.0,0.6157024793388433,0.11515151515151545,both
1CKP-PVB,MSE,cam,85,0.5126582278481012,79.0,46.0,0.6624472573839661,0.14978902953586493,both
1CKP-PVB,MSE,cam,90,0.5185185185185185,27.0,18.0,0.7222222222222222,0.20370370370370372,both
1CKP-PVB,MSE,cam,95,0.0,2.0,2.0,0.5,0.5,both
1CKP-PVB,MSE,diff,50,0.6644561214316238,413.0,214.0,0.6021100475273674,0.062346073904256394,both
1CKP-PVB,MSE,diff,55,0.664520333680918,411.0,213.0,0.6027296102113624,0.06179072346955561,both
1CKP-PVB,MSE,diff,60,0.6652212524927932,383.0,199.0,0.6017719443306915,0.0634493081621017,both
1CKP-PVB,MSE,diff,65,0.6623352351984831,351.0,183.0,0.601343852412229,0.060991382786254156,both
1CKP-PVB,MSE,diff,70,0.662510115157174,255.0,135.0,0.5936928104575168,0.06881730469965719,both
1CKP-PVB,MSE,diff,75,0.6694071588366892,149.0,82.0,0.6488175135826142,0.02058964525407503,both
1CKP-PVB,MSE,diff,80,0.6971074380165291,121.0,68.0,0.7177685950413223,0.02066115702479321,both
1CKP-PVB,MSE,diff,85,0.6677215189873417,79.0,46.0,0.7848101265822787,0.117088607594937,both
1CKP-PVB,MSE,diff,90,0.6851851851851852,27.0,18.0,0.8333333333333334,0.14814814814814814,both
1CKP-PVB,MSE,diff,95,1.0,2.0,2.0,1.0,0.0,both
1CKP-PVB,MSE,gradcam,50,0.48975149184164946,413.0,214.0,0.6186919127810737,0.12894042093942426,both
1CKP-PVB,MSE,gradcam,55,0.4901309895835439,411.0,213.0,0.6178178134382513,0.12768682385470737,both
1CKP-PVB,MSE,gradcam,60,0.49181065525712997,383.0,199.0,0.6133436914115762,0.12153303615444622,both
1CKP-PVB,MSE,gradcam,65,0.49150763766148353,351.0,183.0,0.6014177971442927,0.10991015948280913,both
1CKP-PVB,MSE,gradcam,70,0.4859570494864613,255.0,135.0,0.5891316526610644,0.10317460317460309,both
1CKP-PVB,MSE,gradcam,75,0.48527484819431127,149.0,82.0,0.6097235538510707,0.12444870565675942,both
1CKP-PVB,MSE,gradcam,80,0.49146005509641877,121.0,68.0,0.6435261707988982,0.1520661157024794,both
1CKP-PVB,MSE,gradcam,85,0.48734177215189883,79.0,46.0,0.6497890295358649,0.1624472573839661,both
1CKP-PVB,MSE,gradcam,90,0.5370370370370371,27.0,18.0,0.7592592592592593,0.2222222222222222,both
1CKP-PVB,MSE,gradcam,95,0.0,2.0,2.0,1.0,1.0,both
1CKP-PVB,MSE,gradinput,50,0.5254424902195876,413.0,214.0,0.6129791326273307,0.08753664240774317,both
1CKP-PVB,MSE,gradinput,55,0.5272837732691749,411.0,213.0,0.6134266787551457,0.08614290548597081,both
1CKP-PVB,MSE,gradinput,60,0.5345321200412584,383.0,199.0,0.6123260986185267,0.07779397857726833,both
1CKP-PVB,MSE,gradinput,65,0.5410699620101329,351.0,183.0,0.6098186002032152,0.0687486381930823,both
1CKP-PVB,MSE,gradinput,70,0.5471117335823216,255.0,135.0,0.6104435107376286,0.06333177715530702,both
1CKP-PVB,MSE,gradinput,75,0.5423857462448067,149.0,82.0,0.6530281240012784,0.11064237775647168,both
1CKP-PVB,MSE,gradinput,80,0.5377410468319557,121.0,68.0,0.7068870523415978,0.1691460055096421,both
1CKP-PVB,MSE,gradinput,85,0.5453586497890294,79.0,46.0,0.7468354430379746,0.20147679324894519,both
1CKP-PVB,MSE,gradinput,90,0.5185185185185185,27.0,18.0,0.8148148148148148,0.2962962962962963,both
1CKP-PVB,MSE,gradinput,95,0.5,2.0,2.0,1.0,0.5,both
1CKP-PVB,MSE,ig,50,0.6447479260362039,413.0,214.0,0.5622422324387859,0.082505693597418,both
1CKP-PVB,MSE,ig,55,0.6454727416406246,411.0,213.0,0.5629540370416286,0.08251870459899602,both
1CKP-PVB,MSE,ig,60,0.6497774418792691,383.0,199.0,0.564120474825436,0.08565696705383308,both
1CKP-PVB,MSE,ig,65,0.6557117937459814,351.0,183.0,0.5663203763631118,0.0893914173828696,both
1CKP-PVB,MSE,ig,70,0.6488920012449422,255.0,135.0,0.5541067538126364,0.09478524743230576,both
1CKP-PVB,MSE,ig,75,0.6004873761585171,149.0,82.0,0.5868967721316715,0.013590604026845643,both
1CKP-PVB,MSE,ig,80,0.6009641873278238,121.0,68.0,0.6447658402203856,0.04380165289256188,both
1CKP-PVB,MSE,ig,85,0.590717299578059,79.0,46.0,0.6940928270042195,0.10337552742616052,both
1CKP-PVB,MSE,ig,90,0.5740740740740741,27.0,18.0,0.6851851851851852,0.11111111111111116,both
1CKP-PVB,MSE,ig,95,1.0,2.0,2.0,1.0,0.0,both
1CKP-PVB,MSE,shap,50,0.5379795847855949,413.0,214.0,0.4766169634065945,0.06136262137900045,both
1CKP-PVB,MSE,shap,55,0.5381235080140186,411.0,213.0,0.476544069609763,0.06157943840425567,both
1CKP-PVB,MSE,shap,60,0.5393978301941746,383.0,199.0,0.4752206887977123,0.06417714139646236,both
1CKP-PVB,MSE,shap,65,0.5345160300288502,351.0,183.0,0.47759873870985,0.056917291319000196,both
1CKP-PVB,MSE,shap,70,0.5252287581699345,255.0,135.0,0.4705851229380641,0.054643635231870435,both
1CKP-PVB,MSE,shap,75,0.5284995206136145,149.0,82.0,0.465580057526366,0.0629194630872485,both
1CKP-PVB,MSE,shap,80,0.5393939393939394,121.0,68.0,0.4679063360881543,0.07148760330578513,both
1CKP-PVB,MSE,shap,85,0.5232067510548523,79.0,46.0,0.4683544303797468,0.05485232067510548,both
1CKP-PVB,MSE,shap,90,0.5925925925925926,27.0,18.0,0.5555555555555556,0.03703703703703698,both
1CKP-PVB,MSE,shap,95,0.0,2.0,2.0,0.5,0.5,both
1D3G-BRE,MSE,cam,50,0.5886786469344606,215.0,109.0,0.6245795160911434,0.03590086915668278,both
1D3G-BRE,MSE,cam,55,0.5886786469344606,215.0,109.0,0.6245795160911434,0.03590086915668278,both
1D3G-BRE,MSE,cam,60,0.5886786469344606,215.0,109.0,0.6245795160911434,0.03590086915668278,both
1D3G-BRE,MSE,cam,65,0.5853214890016918,197.0,100.0,0.6189650310208682,0.03364354201917641,both
1D3G-BRE,MSE,cam,70,0.583190476190476,175.0,89.0,0.6118571428571427,0.028666666666666618,both
1D3G-BRE,MSE,cam,75,0.5205387205387205,99.0,51.0,0.508080808080808,0.012457912457912501,both
1D3G-BRE,MSE,cam,80,0.49487179487179483,65.0,34.0,0.4871794871794871,0.0076923076923077205,both
1D3G-BRE,MSE,cam,85,0.4909909909909909,37.0,20.0,0.5045045045045045,0.013513513513513542,both
1D3G-BRE,MSE,cam,90,0.5,18.0,10.0,0.5,0.0,both
1D3G-BRE,MSE,cam,95,0.5,6.0,4.0,0.5,0.0,both
1D3G-BRE,MSE,diff,50,0.6394140742977951,215.0,109.0,0.5989159032182289,0.040498171079566214,both
1D3G-BRE,MSE,diff,55,0.6394140742977951,215.0,109.0,0.5989159032182289,0.040498171079566214,both
1D3G-BRE,MSE,diff,60,0.6394140742977951,215.0,109.0,0.5989159032182289,0.040498171079566214,both
1D3G-BRE,MSE,diff,65,0.6447304810248973,197.0,100.0,0.5852650874224479,0.0594653936024494,both
1D3G-BRE,MSE,diff,70,0.6433061224489794,175.0,89.0,0.585,0.05830612244897948,both
