target,loss,explainer,metric,threshold,archived_value,recomputed_value,absolute_difference,within_0_02,cause_status,baseline_gate_use,construct_gate_use
1D3G-BRE,MSE,diff,acc_test,50,0.5989159032182289,0.6394140742977951,0.040498171079566214,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,55,0.5989159032182289,0.6394140742977951,0.040498171079566214,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,60,0.5989159032182289,0.6394140742977951,0.040498171079566214,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,65,0.5852650874224479,0.6447304810248973,0.0594653936024494,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,70,0.585,0.6433061224489794,0.05830612244897948,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,75,0.4823232323232323,0.5730639730639732,0.09074074074074084,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,80,0.4346153846153847,0.5512820512820513,0.11666666666666664,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,85,0.4054054054054054,0.6306306306306307,0.22522522522522537,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,90,0.5277777777777778,0.75,0.2222222222222222,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,acc_test,95,0.5,0.8333333333333334,0.33333333333333337,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,f1_test,50,0.5847183929421673,0.5281493011192775,0.05656909182288983,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,f1_test,55,0.5847183929421673,0.5281493011192775,0.05656909182288983,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
1D3G-BRE,MSE,diff,f1_test,60,0.5847183929421673,0.5281493011192775,0.05656909182288983,False,difference_recorded,yes_collectively_via_any_cell_with_abs_diff_le_0.02,no
