target,loss,explainer,mcs,metric,calculated,published,absolute_difference,within_0_02
1D3G-BRE,MSE,diff,50,acc_test,0.6394140742977951,0.5989159032182289,0.040498171079566214,False
1D3G-BRE,MSE,diff,55,acc_test,0.6394140742977951,0.5989159032182289,0.040498171079566214,False
1D3G-BRE,MSE,diff,60,acc_test,0.6394140742977951,0.5989159032182289,0.040498171079566214,False
1D3G-BRE,MSE,diff,65,acc_test,0.6447304810248973,0.5852650874224479,0.0594653936024494,False
1D3G-BRE,MSE,diff,70,acc_test,0.6433061224489794,0.585,0.05830612244897948,False
1D3G-BRE,MSE,diff,75,acc_test,0.5730639730639732,0.4823232323232323,0.09074074074074084,False
1D3G-BRE,MSE,diff,80,acc_test,0.5512820512820513,0.4346153846153847,0.11666666666666664,False
1D3G-BRE,MSE,diff,85,acc_test,0.6306306306306307,0.4054054054054054,0.22522522522522537,False
1D3G-BRE,MSE,diff,90,acc_test,0.75,0.5277777777777778,0.2222222222222222,False
1D3G-BRE,MSE,diff,95,acc_test,0.8333333333333334,0.5,0.33333333333333337,False
1D3G-BRE,MSE,diff,50,f1_test,0.5281493011192775,0.5847183929421673,0.05656909182288983,False
1D3G-BRE,MSE,diff,55,f1_test,0.5281493011192775,0.5847183929421673,0.05656909182288983,False
1D3G-BRE,MSE,diff,60,f1_test,0.5281493011192775,0.5847183929421673,0.05656909182288983,False
1D3G-BRE,MSE,diff,65,f1_test,0.534198958534581,0.5691473219392003,0.034948363404619265,False
1D3G-BRE,MSE,diff,70,f1_test,0.5320636823493965,0.5699166230594804,0.03785294071008394,False
1D3G-BRE,MSE,diff,75,f1_test,0.46969113938810897,0.4134199134199133,0.05627122596819567,False
1D3G-BRE,MSE,diff,80,f1_test,0.47711843711843716,0.3593406593406593,0.11777777777777787,False
1D3G-BRE,MSE,diff,85,f1_test,0.5747747747747748,0.3288288288288288,0.245945945945946,False
1D3G-BRE,MSE,diff,90,f1_test,0.6666666666666666,0.5,0.16666666666666663,False
1D3G-BRE,MSE,diff,95,f1_test,0.8333333333333334,0.5,0.33333333333333337,False
1D3G-BRE,MSE,diff,50,global_dir_test,0.8348623853211009,0.8256880733944955,0.00917431192660545,True
1D3G-BRE,MSE,diff,55,global_dir_test,0.8348623853211009,0.8256880733944955,0.00917431192660545,True
1D3G-BRE,MSE,diff,60,global_dir_test,0.8348623853211009,0.8256880733944955,0.00917431192660545,True
1D3G-BRE,MSE,diff,65,global_dir_test,0.83,0.82,0.010000000000000009,True
1D3G-BRE,MSE,diff,70,global_dir_test,0.8089887640449438,0.8089887640449438,0.0,True
1D3G-BRE,MSE,diff,75,global_dir_test,0.6862745098039216,0.6666666666666666,0.019607843137254943,True
1D3G-BRE,MSE,diff,80,global_dir_test,0.6470588235294118,0.6470588235294118,0.0,True
1D3G-BRE,MSE,diff,85,global_dir_test,0.75,0.55,0.19999999999999996,False
1D3G-BRE,MSE,diff,90,global_dir_test,0.8,0.7,0.10000000000000009,False
1D3G-BRE,MSE,diff,95,global_dir_test,0.75,0.75,0.0,True
1D3G-BRE,MSE,diff,50,local_dir_test,0.7796610169491526,0.7909604519774012,0.011299435028248594,True
1D3G-BRE,MSE,diff,55,local_dir_test,0.7796610169491526,0.7909604519774012,0.011299435028248594,True
1D3G-BRE,MSE,diff,60,local_dir_test,0.7796610169491526,0.7909604519774012,0.011299435028248594,True
1D3G-BRE,MSE,diff,65,local_dir_test,0.779874213836478,0.779874213836478,0.0,True
1D3G-BRE,MSE,diff,70,local_dir_test,0.7613636363636364,0.7689393939393939,0.007575757575757569,True
1D3G-BRE,MSE,diff,75,local_dir_test,0.6594202898550725,0.6884057971014492,0.02898550724637672,False
1D3G-BRE,MSE,diff,80,local_dir_test,0.6296296296296297,0.6666666666666666,0.03703703703703698,False
1D3G-BRE,MSE,diff,85,local_dir_test,0.6875,0.6458333333333334,0.04166666666666663,False
1D3G-BRE,MSE,diff,90,local_dir_test,0.8,0.8,0.0,True
1D3G-BRE,MSE,diff,95,local_dir_test,1.0,1.0,0.0,True
