target,loss,explainer,mcs,metric,released_value,reproduced_value,absolute_difference,within_0_02,primary_gate_input
1D3G-BRE,MSE,diff,50,acc_test,0.5989159032182289,0.6394140742977951,0.0404981710795662,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,55,acc_test,0.5989159032182289,0.6394140742977951,0.0404981710795662,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,60,acc_test,0.5989159032182289,0.6394140742977951,0.0404981710795662,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,65,acc_test,0.5852650874224479,0.6447304810248973,0.0594653936024494,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,70,acc_test,0.585,0.6433061224489794,0.0583061224489794,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,75,acc_test,0.4823232323232323,0.5730639730639732,0.0907407407407408,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,80,acc_test,0.4346153846153847,0.5512820512820513,0.1166666666666666,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,85,acc_test,0.4054054054054054,0.6306306306306307,0.2252252252252253,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,90,acc_test,0.5277777777777778,0.75,0.2222222222222222,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,95,acc_test,0.5,0.8333333333333334,0.3333333333333333,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,50,f1_test,0.5847183929421673,0.5281493011192775,0.0565690918228898,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,55,f1_test,0.5847183929421673,0.5281493011192775,0.0565690918228898,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,60,f1_test,0.5847183929421673,0.5281493011192775,0.0565690918228898,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,65,f1_test,0.5691473219392003,0.534198958534581,0.0349483634046192,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,70,f1_test,0.5699166230594804,0.5320636823493965,0.0378529407100839,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,75,f1_test,0.4134199134199133,0.4696911393881089,0.0562712259681956,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,80,f1_test,0.3593406593406593,0.4771184371184371,0.1177777777777778,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,85,f1_test,0.3288288288288288,0.5747747747747748,0.245945945945946,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,90,f1_test,0.5,0.6666666666666666,0.1666666666666666,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,95,f1_test,0.5,0.8333333333333334,0.3333333333333333,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,50,global_dir_test,0.8256880733944955,0.8348623853211009,0.0091743119266054,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,55,global_dir_test,0.8256880733944955,0.8348623853211009,0.0091743119266054,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,60,global_dir_test,0.8256880733944955,0.8348623853211009,0.0091743119266054,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,65,global_dir_test,0.82,0.83,0.01,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,70,global_dir_test,0.8089887640449438,0.8089887640449438,0.0,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,75,global_dir_test,0.6666666666666666,0.6862745098039216,0.0196078431372549,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,80,global_dir_test,0.6470588235294118,0.6470588235294118,0.0,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,85,global_dir_test,0.55,0.75,0.1999999999999999,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,90,global_dir_test,0.7,0.8,0.1,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,95,global_dir_test,0.75,0.75,0.0,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,50,local_dir_test,0.7909604519774012,0.7796610169491526,0.0112994350282485,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,55,local_dir_test,0.7909604519774012,0.7796610169491526,0.0112994350282485,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,60,local_dir_test,0.7909604519774012,0.7796610169491526,0.0112994350282485,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,65,local_dir_test,0.779874213836478,0.779874213836478,0.0,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,70,local_dir_test,0.7689393939393939,0.7613636363636364,0.0075757575757575,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,75,local_dir_test,0.6884057971014492,0.6594202898550725,0.0289855072463767,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,80,local_dir_test,0.6666666666666666,0.6296296296296297,0.0370370370370369,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,85,local_dir_test,0.6458333333333334,0.6875,0.0416666666666666,False,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,90,local_dir_test,0.8,0.8,0.0,True,No (sentinel baseline audit only)
1D3G-BRE,MSE,diff,95,local_dir_test,1.0,1.0,0.0,True,No (sentinel baseline audit only)
