source,loss,metric,mcs,explainer,target_median,rank
lin1,MSE,acc_test,50,cam,0.5492374757871137,
lin1,MSE,acc_test,50,diff,0.613914220072631,
lin1,MSE,acc_test,50,gradcam,0.5640360516753828,
lin1,MSE,acc_test,50,gradinput,0.5572976185399459,
lin1,MSE,acc_test,50,ig,0.5883345802143328,
lin1,MSE,acc_test,50,shap,,
lin1,MSE,acc_test,55,cam,0.5497058549268671,
lin1,MSE,acc_test,55,diff,0.617166930874914,
lin1,MSE,acc_test,55,gradcam,0.5653263968746871,
lin1,MSE,acc_test,55,gradinput,0.5579266923996468,
lin1,MSE,acc_test,55,ig,0.5901071481528937,
lin1,MSE,acc_test,55,shap,,
lin1,MSE,acc_test,60,cam,0.5502745747182791,
lin1,MSE,acc_test,60,diff,0.6187064549330449,
lin1,MSE,acc_test,60,gradcam,0.5694571311934609,
lin1,MSE,acc_test,60,gradinput,0.5615043128753234,
lin1,MSE,acc_test,60,ig,0.5920757538846481,
lin1,MSE,acc_test,60,shap,,
lin1,MSE,acc_test,65,cam,0.5497051658095691,
lin1,MSE,acc_test,65,diff,0.624113475177305,
lin1,MSE,acc_test,65,gradcam,0.5748682669789227,
lin1,MSE,acc_test,65,gradinput,0.5618080240173264,
lin1,MSE,acc_test,65,ig,0.5946733016087855,
lin1,MSE,acc_test,65,shap,,
lin1,MSE,acc_test,70,cam,0.5516425557564799,
lin1,MSE,acc_test,70,diff,0.6260199518616517,
lin1,MSE,acc_test,70,gradcam,0.5766731643924627,
lin1,MSE,acc_test,70,gradinput,0.5653747294372294,
lin1,MSE,acc_test,70,ig,0.595,
lin1,MSE,acc_test,70,shap,,
lin1,MSE,acc_test,75,cam,0.5586569243081849,
lin1,MSE,acc_test,75,diff,0.6358235037134117,
lin1,MSE,acc_test,75,gradcam,0.5842261904761905,
lin1,MSE,acc_test,75,gradinput,0.5717650949268596,
lin1,MSE,acc_test,75,ig,0.605571165568241,
lin1,MSE,acc_test,75,shap,,
lin1,MSE,acc_test,80,cam,0.5619047619047618,
lin1,MSE,acc_test,80,diff,0.6555885681946803,
lin1,MSE,acc_test,80,gradcam,0.5846483037659508,
lin1,MSE,acc_test,80,gradinput,0.570213032581454,
lin1,MSE,acc_test,80,ig,0.6123376623376623,
lin1,MSE,acc_test,80,shap,,
lin1,MSE,acc_test,85,cam,0.5651709401709402,
lin1,MSE,acc_test,85,diff,0.6666666666666666,
lin1,MSE,acc_test,85,gradcam,0.5909090909090909,
lin1,MSE,acc_test,85,gradinput,0.5806940371456502,
lin1,MSE,acc_test,85,ig,0.6166666666666666,
lin1,MSE,acc_test,85,shap,,
lin1,MSE,acc_test,90,cam,0.5666666666666667,
lin1,MSE,acc_test,90,diff,0.6866987179487178,
lin1,MSE,acc_test,90,gradcam,0.6185567010309279,
lin1,MSE,acc_test,90,gradinput,0.6052631578947368,
lin1,MSE,acc_test,90,ig,0.6292134831460674,
lin1,MSE,acc_test,90,shap,,
lin1,MSE,acc_test,95,cam,0.6,
lin1,MSE,acc_test,95,diff,0.75,
lin1,MSE,acc_test,95,gradcam,0.6666666666666666,
lin1,MSE,acc_test,95,gradinput,0.6348484848484848,
lin1,MSE,acc_test,95,ig,0.6666666666666666,
lin1,MSE,acc_test,95,shap,,
lin1,MSE,f1_test,50,cam,0.5007092511621498,
lin1,MSE,f1_test,50,diff,0.4849224772027303,
lin1,MSE,f1_test,50,gradcam,0.4799957715505364,
lin1,MSE,f1_test,50,gradinput,0.46065017906625827,
lin1,MSE,f1_test,50,ig,0.4727231417537918,
lin1,MSE,f1_test,50,shap,,
lin1,MSE,f1_test,55,cam,0.5011558530562928,
lin1,MSE,f1_test,55,diff,0.4890098180922177,
lin1,MSE,f1_test,55,gradcam,0.48083762144806586,
lin1,MSE,f1_test,55,gradinput,0.4617631463157664,
lin1,MSE,f1_test,55,ig,0.47669873985663436,
lin1,MSE,f1_test,55,shap,,
lin1,MSE,f1_test,60,cam,0.5025946844273235,
lin1,MSE,f1_test,60,diff,0.5036870254200847,
lin1,MSE,f1_test,60,gradcam,0.4876049771401466,
lin1,MSE,f1_test,60,gradinput,0.4658480496888281,
lin1,MSE,f1_test,60,ig,0.47937459843052826,
lin1,MSE,f1_test,60,shap,,
lin1,MSE,f1_test,65,cam,0.5028175979001386,
lin1,MSE,f1_test,65,diff,0.5136216391318432,
lin1,MSE,f1_test,65,gradcam,0.4889956079190264,
lin1,MSE,f1_test,65,gradinput,0.47079020100874674,
lin1,MSE,f1_test,65,ig,0.4895860041167833,
lin1,MSE,f1_test,65,shap,,
lin1,MSE,f1_test,70,cam,0.5038759689922481,
lin1,MSE,f1_test,70,diff,0.5294070870104929,
lin1,MSE,f1_test,70,gradcam,0.496349038378675,
lin1,MSE,f1_test,70,gradinput,0.4772979438542115,
lin1,MSE,f1_test,70,ig,0.4995314230453662,
lin1,MSE,f1_test,70,shap,,
lin1,MSE,f1_test,75,cam,0.5051997800481662,
lin1,MSE,f1_test,75,diff,0.5377134820172793,
lin1,MSE,f1_test,75,gradcam,0.5,
lin1,MSE,f1_test,75,gradinput,0.4803193373046314,
lin1,MSE,f1_test,75,ig,0.513490642513082,
lin1,MSE,f1_test,75,shap,,
lin1,MSE,f1_test,80,cam,0.5110435663627153,
lin1,MSE,f1_test,80,diff,0.5776747062461348,
