target,explainer,acc_test_mcs50
1CKP-PVB,cam,0.49884829124253705
1CKP-PVB,diff,0.6644561214316235
1CKP-PVB,gradcam,0.48975149184164996
1CKP-PVB,gradinput,0.5254424902195876
1CKP-PVB,ig,0.6447479260362039
1CKP-PVB,shap,0.5379795847855954
1D3G-BRE,cam,0.5886786469344609
1D3G-BRE,diff,0.6394140742977953
1D3G-BRE,gradcam,0.4725693815228699
1D3G-BRE,gradinput,0.5149503339038223
1D3G-BRE,ig,0.6205129366757274
1D3G-BRE,shap,0.4812609483539716
1D7X-SPC,cam,0.5192828734127851
1D7X-SPC,diff,0.6524977181490894
1D7X-SPC,gradcam,0.6116143586818098
1D7X-SPC,gradinput,0.5992490383477669
1D7X-SPC,ig,0.6242440757191018
1D7X-SPC,shap,0.5168960538391134
1D8M-BBH,cam,0.62
1D8M-BBH,diff,0.5302742257742258
1D8M-BBH,gradcam,0.6145622155622156
1D8M-BBH,gradinput,0.5109366744366743
1D8M-BBH,ig,0.5697310467310467
1D8M-BBH,shap,0.5752374847374847
1DB4-8IN,cam,0.5267513538841159
1DB4-8IN,diff,0.563872805195678
1DB4-8IN,gradcam,0.5073731598005023
1DB4-8IN,gradinput,0.4604981674095338
1DB4-8IN,ig,0.5002053102269423
1DB4-8IN,shap,0.5110526393671144
1DYR-TOP,cam,0.49879706092723847
1DYR-TOP,diff,0.6014535185393174
1DYR-TOP,gradcam,0.5501620995703835
1DYR-TOP,gradinput,0.5509353893969279
1DYR-TOP,ig,0.542763465988318
1DYR-TOP,shap,0.5278516765942801
1EZQ-RPR,cam,0.5
1EZQ-RPR,diff,0.7
1EZQ-RPR,gradcam,0.7107142857142856
1EZQ-RPR,gradinput,0.8447802197802198
1EZQ-RPR,ig,0.7916666666666666
1EZQ-RPR,shap,0.6438644688644689
1F0R-815,cam,0.503935860058309
1F0R-815,diff,0.6484100515769934
1F0R-815,gradcam,0.6735757987802742
1F0R-815,gradinput,0.5609010004670443
1F0R-815,ig,0.6078312774646
1F0R-815,shap,0.5306256126606806
1F40-GPI,cam,0.6450680272108844
1F40-GPI,diff,0.36847667638483966
1F40-GPI,gradcam,0.6560311570515651
1F40-GPI,gradinput,0.5988433901699208
1F40-GPI,ig,0.5339053803339516
1F40-GPI,shap,0.553862237535707
1FLS-WAY,cam,0.5134578871420976
1FLS-WAY,diff,0.6735299394588677
1FLS-WAY,gradcam,0.47742109165334407
1FLS-WAY,gradinput,0.45244485915294125
1FLS-WAY,ig,0.5717000038487192
1FLS-WAY,shap,0.5243091813295767
1FM9-570,cam,0.5129022445060182
1FM9-570,diff,0.6865200684362142
1FM9-570,gradcam,0.5886048995886018
1FM9-570,gradinput,0.5383089356950271
1FM9-570,ig,0.5058282510370833
1FM9-570,shap,0.5302966769747832
1G5S-I17,cam,0.5141810363957645
1G5S-I17,diff,0.6267290556581799
1G5S-I17,gradcam,0.5113015336975973
1G5S-I17,gradinput,0.48729022016615997
1G5S-I17,ig,0.5770897734813039
1G5S-I17,shap,0.5140903237602708
1H00-FAP,cam,0.5119047619047619
1H00-FAP,diff,0.5576919277812136
1H00-FAP,gradcam,0.5760157831586403
1H00-FAP,gradinput,0.6076033093890236
1H00-FAP,ig,0.5638583143047429
1H00-FAP,shap,0.5473498227962512
1H01-FAL,cam,0.5230769230769231
1H01-FAL,diff,0.5753459361151669
1H01-FAL,gradcam,0.5082517482517482
1H01-FAL,gradinput,0.48200376546530393
1H01-FAL,ig,0.560309861079092
1H01-FAL,shap,0.5395128802821111
1H1Q-2A6,cam,0.5380116959064327
1H1Q-2A6,diff,0.5976754077631271
1H1Q-2A6,gradcam,0.41399054162212057
1H1Q-2A6,gradinput,0.6997212014755874
1H1Q-2A6,ig,0.6263871443696005
1H1Q-2A6,shap,0.5553162399653628
1H1R-6CP,cam,0.5524861878453039
1H1R-6CP,diff,0.728788660694738
1H1R-6CP,gradcam,0.5309211200095179
1H1R-6CP,gradinput,0.6472982051711332
1H1R-6CP,ig,0.550505541113276
1H1R-6CP,shap,0.5571419679154486
1HVY-D16,cam,0.5216855752613085
1HVY-D16,diff,0.6035088978896881
1HVY-D16,gradcam,0.7324438006127144
1HVY-D16,gradinput,0.6911138220624963
1HVY-D16,ig,0.6347431337975763
1HVY-D16,shap,0.5156946332686501
1HY7-MBS,cam,0.5290040088117012
1HY7-MBS,diff,0.6207557683752843
1HY7-MBS,gradcam,0.5624599688243205
1HY7-MBS,gradinput,0.5406196546529519
1HY7-MBS,ig,0.5891411559127475
1HY7-MBS,shap,0.5317057012598523
1IPC-MGP,cam,0.5
1IPC-MGP,diff,0.7302242470900558
1IPC-MGP,gradcam,0.6487211046034576
1IPC-MGP,gradinput,0.5722799344582433
1IPC-MGP,ig,0.614059759004612
1IPC-MGP,shap,0.5515333964782494
1KE5-LS1,cam,0.5569620253164557
1KE5-LS1,diff,0.6617663981588031
1KE5-LS1,gradcam,0.7166401811971432
1KE5-LS1,gradinput,0.7977651743474528
1KE5-LS1,ig,0.7183809158492702
1KE5-LS1,shap,0.5746785211975086
1KE9-LS5,cam,0.5365853658536586
1KE9-LS5,diff,0.7844286810750226
1KE9-LS5,gradcam,0.643583042973287
1KE9-LS5,gradinput,0.5735176070541923
1KE9-LS5,ig,0.7247652753750314
1KE9-LS5,shap,0.49444975755951354
1KLK-PMD,cam,0.6787955825269258
1KLK-PMD,diff,0.6246769448481476
1KLK-PMD,gradcam,0.5013591593266746
1KLK-PMD,gradinput,0.666834769951539
1KLK-PMD,ig,0.6299533677716295
1KLK-PMD,shap,0.48160328477492664
1KMS-LIH,cam,0.5065025252525251
1KMS-LIH,diff,0.6707902892561982
1KMS-LIH,gradcam,0.5080611307884036
1KMS-LIH,gradinput,0.49172262396694216
1KMS-LIH,ig,0.6168617998163453
1KMS-LIH,shap,0.5270905073461892
1LD8-U49,cam,0.5257553972125513
1LD8-U49,diff,0.5416873108809852
1LD8-U49,gradcam,0.540233045817589
1LD8-U49,gradinput,0.5379963040226222
1LD8-U49,ig,0.5040939296073164
1LD8-U49,shap,0.5003769634963456
1LJT-HDI,cam,0.5666666666666667
1LJT-HDI,diff,0.683609076109076
1LJT-HDI,gradcam,0.573992673992674
1LJT-HDI,gradinput,0.5729344729344729
1LJT-HDI,ig,0.43089743589743595
1LJT-HDI,shap,0.5138278388278388
1LY3-COG,cam,0.5031847133757962
1LY3-COG,diff,0.5646712805948474
1LY3-COG,gradcam,0.513724138564903
1LY3-COG,gradinput,0.47874491043280853
1LY3-COG,ig,0.5285631565886343
1LY3-COG,shap,0.508129980422974
1M17-AQ4,cam,0.5430552625333352
1M17-AQ4,diff,0.5965113021899879
1M17-AQ4,gradcam,0.5106712635148233
1M17-AQ4,gradinput,0.4947742385029536
1M17-AQ4,ig,0.5585284380861116
1M17-AQ4,shap,0.5186431187310072
1MS6-BLN,cam,0.5179856115107914
1MS6-BLN,diff,0.6773019346760354
1MS6-BLN,gradcam,0.3958849503813533
1MS6-BLN,gradinput,0.5819398028031121
1MS6-BLN,ig,0.595350432940361
1MS6-BLN,shap,0.5038040097392615
1MZC-BNE,cam,0.5652173913043478
1MZC-BNE,diff,0.5320910973084885
1MZC-BNE,gradcam,0.5683229813664595
1MZC-BNE,gradinput,0.5349378881987576
1MZC-BNE,ig,0.5794513457556936
1MZC-BNE,shap,0.5548654244306418
1N1M-A3M,cam,0.5713213213213213
1N1M-A3M,diff,0.7192005549148406
1N1M-A3M,gradcam,0.6748924713210427
1N1M-A3M,gradinput,0.6370487834773549
1N1M-A3M,ig,0.7449965735680021
1N1M-A3M,shap,0.5775443346871919
1NAV-IH5,cam,0.7777777777777778
1NAV-IH5,diff,0.8148989898989899
1NAV-IH5,gradcam,0.7626356154133931
1NAV-IH5,gradinput,0.8512719790497568
1NAV-IH5,ig,0.5710718294051628
1NAV-IH5,shap,0.5491208380097269
1NAX-IH5,cam,0.7804878048780488
1NAX-IH5,diff,0.7243761658395804
1NAX-IH5,gradcam,0.6871176926054975
1NAX-IH5,gradinput,0.7515274698201527
1NAX-IH5,ig,0.6032669904621124
1NAX-IH5,shap,0.5348854397634886
1NFU-RRP,cam,0.5423728813559322
1NFU-RRP,diff,0.646399591674294
1NFU-RRP,gradcam,0.3996235324382463
1NFU-RRP,gradinput,0.38306977352406857
1NFU-RRP,ig,0.5780393544436939
1NFU-RRP,shap,0.5120603510696389
1O42-843,cam,0.49388841562972585
1O42-843,diff,0.5543959719031841
1O42-843,gradcam,0.5447148166760114
