source,loss,metric,n_complete_targets,ss_total,eta2_target,eta2_method,eta2_definition,eta2_method_definition,eta2_residual,marginal_method_variance,marginal_definition_variance,definition_method_variance_ratio
lin2,MSE,acc_test,233,294.48432495403654,0.18153137755118287,0.09565037473751484,0.012203388206581182,0.004498048502570428,0.7061168110021506,0.002014845210027016,0.00025706055351696066,0.12758327649076023
lin2,MSE,f1_test,233,365.17542431526715,0.2132944153809426,0.09327902488632907,0.08251701940124687,0.009063973362600007,0.6018455669688816,0.0024365670595550486,0.002155449754869918,0.8846256647923056
lin2,MSE,global_dir_test,238,676.2456931593767,0.23291908646817527,0.19142829457396246,0.007101322446521366,0.004037713993529914,0.5645135825178109,0.009065305304936037,0.00033629122690448756,0.03709651419256423
lin2,MSE,local_dir_test,233,382.23563368970264,0.15616811724827698,0.12898880342325675,0.009006621135016598,0.0025755965875544347,0.7032608616058953,0.0035267608737743227,0.0002462554747457896,0.0698248289462983
lin2,MSE+AC,acc_test,233,288.02918201760247,0.19607500498938552,0.09822862986327942,0.011052731012973173,0.0032174224469869225,0.6914262116873751,0.0020237991352096,0.00022771881779164873,0.11252046402720911
lin2,MSE+AC,f1_test,233,355.54564310121333,0.22266838625735624,0.09708247079043604,0.08034832206734079,0.0077816543054712575,0.5921191665793956,0.0024690450294020277,0.002043454638164241,0.8276295546781262
lin2,MSE+AC,global_dir_test,238,693.1847881755382,0.25194754091718313,0.19256552280587577,0.007897839883519985,0.0027856030123127266,0.5448034933811085,0.00934758341289235,0.0003833797245589718,0.041013779457716074
lin2,MSE+AC,local_dir_test,233,384.07206581576395,0.1779557072072453,0.12443707453092344,0.008202289935525839,0.00247282147196263,0.6869321068543429,0.0034186555278370493,0.00022534123318721446,0.06591516207243779
lin2,MSE+UCN,acc_test,233,295.35798544336524,0.17665140079936384,0.11999009416255424,0.014302416757546463,0.0029985253568520854,0.6860575629236833,0.0025350523952082774,0.0003021697425236303,0.11919664583453483
lin2,MSE+UCN,f1_test,233,356.58423410026876,0.20474961910734485,0.1177666645335097,0.09177451157649749,0.0035187697218741374,0.5821904350607738,0.0030038437678987727,0.002340868663836309,0.779291083262222
lin2,MSE+UCN,global_dir_test,238,679.9509517633476,0.2224831522118329,0.22902386690723672,0.01176921587193481,0.002634768894181293,0.5340889961148143,0.010905111784320578,0.0005603984267248159,0.051388599934441705
lin2,MSE+UCN,local_dir_test,233,378.27237605845994,0.21234606021297442,0.16362468299961505,0.004235148793637384,0.0010729072902812883,0.6187212007034919,0.004427374650935384,0.00011459512139701958,0.025883312444048245
