target,loss,explainer,n_pairs,n_flipped,flip_rate
1CKP-PVB,MSE,cam,214,33,0.1542056074766355
1CKP-PVB,MSE+AC,cam,214,39,0.1822429906542056
1CKP-PVB,MSE+UCN,cam,214,40,0.18691588785046728
1CKP-PVB,MSE,diff,214,7,0.03271028037383177
1CKP-PVB,MSE+AC,diff,214,14,0.06542056074766354
1CKP-PVB,MSE+UCN,diff,214,9,0.04205607476635514
1CKP-PVB,MSE,gradcam,214,55,0.2570093457943925
1CKP-PVB,MSE+AC,gradcam,214,25,0.11682242990654206
1CKP-PVB,MSE+UCN,gradcam,214,36,0.16822429906542055
1CKP-PVB,MSE,gradinput,214,26,0.12149532710280374
1CKP-PVB,MSE+AC,gradinput,214,23,0.10747663551401869
1CKP-PVB,MSE+UCN,gradinput,214,31,0.14485981308411214
1CKP-PVB,MSE,ig,214,15,0.07009345794392523
1CKP-PVB,MSE+AC,ig,214,13,0.06074766355140187
1CKP-PVB,MSE+UCN,ig,214,19,0.08878504672897196
1CKP-PVB,MSE,shap,214,36,0.16822429906542055
1CKP-PVB,MSE+AC,shap,214,36,0.16822429906542055
1CKP-PVB,MSE+UCN,shap,214,33,0.1542056074766355
1D3G-BRE,MSE,cam,109,13,0.11926605504587157
1D3G-BRE,MSE+AC,cam,109,17,0.1559633027522936
1D3G-BRE,MSE+UCN,cam,109,7,0.06422018348623854
1D3G-BRE,MSE,diff,109,9,0.08256880733944955
1D3G-BRE,MSE+AC,diff,109,8,0.07339449541284404
1D3G-BRE,MSE+UCN,diff,109,7,0.06422018348623854
1D3G-BRE,MSE,gradcam,109,33,0.30275229357798167
1D3G-BRE,MSE+AC,gradcam,109,22,0.2018348623853211
1D3G-BRE,MSE+UCN,gradcam,109,24,0.22018348623853212
1D3G-BRE,MSE,gradinput,109,30,0.27522935779816515
1D3G-BRE,MSE+AC,gradinput,109,15,0.13761467889908258
1D3G-BRE,MSE+UCN,gradinput,109,15,0.13761467889908258
1D3G-BRE,MSE,ig,109,6,0.05504587155963303
1D3G-BRE,MSE+AC,ig,109,5,0.045871559633027525
1D3G-BRE,MSE+UCN,ig,109,9,0.08256880733944955
1D3G-BRE,MSE,shap,109,30,0.27522935779816515
